spec,phase,slot,rank_index,item_id,item_name,section,url
fury_warrior,p1,head,1,29021,Warbringer Battle-Helm,Best in Slot Head Armor for Fury Warrior in TBC Classic Phase 1,https://www.wowhead.com/tbc/guide/fury-warrior-dps-karazhan-best-in-slot-gear-burning-crusade-classic-wow
fury_warrior,p1,shoulder,1,30740,Ripfiend Shoulderplates,Best in Slot Shoulder Armor for Fury Warrior in TBC Classic Phase 1,https://www.wowhead.com/tbc/guide/fury-warrior-dps-karazhan-best-in-slot-gear-burning-crusade-classic-wow
fury_warrior,p1,back,1,30729,Black-Iron Battlecloak,Best in Slot Back Armor for Fury Warrior in TBC Classic Phase 1,https://www.wowhead.com/tbc/guide/fury-warrior-dps-karazhan-best-in-slot-gear-burning-crusade-classic-wow
fury_warrior,p1,chest,1,30730,Terrorweave Tunic,Best in Slot Chest Armor for Fury Warrior in TBC Classic Phase 1,https://www.wowhead.com/tbc/guide/fury-warrior-dps-karazhan-best-in-slot-gear-burning-crusade-classic-wow
fury_warrior,p1,wrist,1,28795,Bladespire Warbands,Best in Slot Wrist Armor for Fury Warrior in TBC Classic Phase 1,https://www.wowhead.com/tbc/guide/fury-warrior-dps-karazhan-best-in-slot-gear-burning-crusade-classic-wow
fury_warrior,p1,hands,1,28824,Gauntlets of Martial Perfection,Best in Slot Hand Armor for Fury  Warrior in TBC Classic Phase 1,https://www.wowhead.com/tbc/guide/fury-warrior-dps-karazhan-best-in-slot-gear-burning-crusade-classic-wow
fury_warrior,p1,waist,1,28779,Girdle of the Endless Pit,Best in Slot Waist Armor for Fury Warrior in TBC Classic Phase 1,https://www.wowhead.com/tbc/guide/fury-warrior-dps-karazhan-best-in-slot-gear-burning-crusade-classic-wow
fury_warrior,p1,legs,1,30739,Scaled Greaves of the Marksman,Best in Slot Leg Armor for Fury Warrior in TBC Classic Phase 1,https://www.wowhead.com/tbc/guide/fury-warrior-dps-karazhan-best-in-slot-gear-burning-crusade-classic-wow
fury_warrior,p1,feet,1,28608,Ironstriders of Urgency,Best in Slot Feet Armor for Fury Warrior in TBC Classic Phase 1,https://www.wowhead.com/tbc/guide/fury-warrior-dps-karazhan-best-in-slot-gear-burning-crusade-classic-wow
fury_warrior,p1,neck,1,29349,Adamantine Chain of the Unbroken,Best in Slot Neck Jewelry for Fury Warrior in TBC Classic Phase 1,https://www.wowhead.com/tbc/guide/fury-warrior-dps-karazhan-best-in-slot-gear-burning-crusade-classic-wow
fury_warrior,p1,rings,1,30738,Ring of Reciprocity,Best in Slot Ring Jewelry for Fury Warrior in TBC Classic Phase 1,https://www.wowhead.com/tbc/guide/fury-warrior-dps-karazhan-best-in-slot-gear-burning-crusade-classic-wow
fury_warrior,p1,rings,2,28757,Ring of a Thousand Marks,Best in Slot Ring Jewelry for Fury Warrior in TBC Classic Phase 1,https://www.wowhead.com/tbc/guide/fury-warrior-dps-karazhan-best-in-slot-gear-burning-crusade-classic-wow
